index,company_name,date,ticker,cusip,reviews_url
54,abvc biopharma inc,2021-08-03T00:00:00.000000000,ABVC,00091F106,https://www.glassdoor.com/Reviews/Biopharma-Argentina--Reviews-E2806824.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
55,ac immune sa,2016-09-23T00:00:00.000000000,ACIU,H00263105,https://www.glassdoor.com/Reviews/ACImmune-Reviews-E505596.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
56,ac moore arts  crafts inc,1997-10-09T00:00:00.000000000,ACMR.1,00086T103,https://www.glassdoor.com/Reviews/Thomas-Moore-College-of-Liberal-Arts-Reviews-E129542.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
57,acacia communications inc,2016-05-13T00:00:00.000000000,ACIA,00401C108,https://www.glassdoor.com/Reviews/Acacia-Communications-Reviews-E716324.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
58,acacia research corp,1996-07-08T00:00:00.000000000,ACTG,3881307,https://www.glassdoor.com/Reviews/Acacia-Research-Reviews-E6783.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
59,academy spo and ou inc,2020-10-02T00:00:00.000000000,ASO,00402L107,https://www.glassdoor.com/Reviews/SPO-De-Liemers-Reviews-E1075845.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
60,acadia healthcare co inc,None,None,None,https://www.glassdoor.com/Reviews/Acadia-Healthcare-Reviews-E443650.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
61,acadia pharmaceuticals inc,2004-05-27T00:00:00.000000000,ACAD,4225108,https://www.glassdoor.com/Reviews/Acadia-Pharmaceuticals-Reviews-E13075.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
62,acadia realty trust,1993-05-26T00:00:00.000000000,AKR,4239109,https://www.glassdoor.com/Reviews/Acadia-Realty-Trust-Reviews-E1288.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
63,acamar partners acquisition,2019-02-22T00:00:00.000000000,ACAM,4285102,https://www.glassdoor.com/Reviews/Acamar-Partners-Reviews-E4209349.htm?filter.defaultEmploymentStatuses=false&filter.defaultLocation=false&filter.employmentStatus=FREELANCE&filter.employmentStatus=PART_TIME&filter.employmentStatus=CONTRACT&filter.employmentStatus=INTERN&filter.employmentStatus=REGULAR
